Run Number,Time (seconds),DateTime
1,61.4905,2025-09-09 16:46:20
2,54.5146,2025-09-09 16:47:14
3,53.1466,2025-09-09 16:48:07
4,55.1404,2025-09-09 16:49:03
5,52.7892,2025-09-09 16:49:55
6,52.3243,2025-09-09 16:50:48
7,52.2947,2025-09-09 16:51:40
8,52.7228,2025-09-09 16:52:33
9,52.5557,2025-09-09 16:53:25
10,52.2029,2025-09-09 16:54:18
