Run Number,Time (seconds),DateTime
1,51.9317,2025-09-09 16:55:13
2,53.4787,2025-09-09 16:56:06
3,52.3915,2025-09-09 16:56:59
4,51.9387,2025-09-09 16:57:51
5,52.2255,2025-09-09 16:58:43
6,52.3110,2025-09-09 16:59:35
7,71.4271,2025-09-09 17:00:47
8,52.2298,2025-09-09 17:01:39
9,52.1153,2025-09-09 17:02:31
10,51.4252,2025-09-09 17:03:23
