Run Number,Time (seconds),DateTime
1,47.0479,2025-09-09 10:19:40
2,51.4393,2025-09-09 10:20:32
3,49.3160,2025-09-09 10:21:21
4,48.0806,2025-09-09 10:22:09
5,44.7992,2025-09-09 10:22:54
6,45.2649,2025-09-09 10:23:39
7,46.4206,2025-09-09 10:24:25
8,44.7130,2025-09-09 10:25:10
9,44.9989,2025-09-09 10:25:55
10,43.8979,2025-09-09 10:26:39
