Run Number,Time (seconds),DateTime
1,1.1210,2025-09-09 13:38:11
2,0.7040,2025-09-09 13:38:11
3,0.6400,2025-09-09 13:38:12
4,0.6300,2025-09-09 13:38:13
5,0.6150,2025-09-09 13:38:13
6,0.6210,2025-09-09 13:38:14
7,0.6790,2025-09-09 13:38:15
8,0.6520,2025-09-09 13:38:15
9,0.6690,2025-09-09 13:38:16
10,0.6610,2025-09-09 13:38:17
