Run Number,Time (seconds),DateTime
1,2.3590,2025-09-10 11:17:28
2,1.5930,2025-09-10 11:17:30
3,1.1130,2025-09-10 11:17:31
4,1.2050,2025-09-10 11:17:32
5,1.7020,2025-09-10 11:17:34
6,1.1670,2025-09-10 11:17:35
7,1.2120,2025-09-10 11:17:37
8,1.1360,2025-09-10 11:17:38
9,1.5130,2025-09-10 11:17:39
10,1.2460,2025-09-10 11:17:41
