Run Number,Time (seconds),DateTime
1,5.3250,2025-09-10 11:17:46
2,5.6200,2025-09-10 11:17:52
3,5.5560,2025-09-10 11:17:57
4,5.2010,2025-09-10 11:18:03
5,5.2320,2025-09-10 11:18:08
6,5.7240,2025-09-10 11:18:14
7,5.5320,2025-09-10 11:18:19
8,5.5230,2025-09-10 11:18:25
9,5.3800,2025-09-10 11:18:30
10,5.5060,2025-09-10 11:18:36
