Run Number,Time (seconds),DateTime
1,117.8410,2025-09-10 11:41:32
2,115.8850,2025-09-10 11:43:28
3,128.6130,2025-09-10 11:45:37
4,131.3920,2025-09-10 11:47:48
5,131.7290,2025-09-10 11:50:00
6,129.0950,2025-09-10 11:52:09
7,130.3070,2025-09-10 11:54:19
8,128.9370,2025-09-10 11:56:28
9,130.2720,2025-09-10 11:58:39
10,131.5920,2025-09-10 12:00:50
